,y_true,y_pred,score
0,3,3,[3.1396974e-04 2.0521908e-04 7.1623304e-04 9.9876451e-01]
1,3,3,[2.9645584e-04 8.9186040e-05 4.3674232e-04 9.9917752e-01]
2,3,3,[3.2460969e-04 1.3354393e-04 2.4592137e-04 9.9929595e-01]
3,3,3,[2.4961308e-04 1.2556925e-04 1.9549744e-04 9.9942929e-01]
4,3,3,[1.9971735e-03 8.5234911e-05 1.6939481e-03 9.9622357e-01]
5,3,3,[1.4165654e-03 1.7559060e-04 1.1880489e-03 9.9721980e-01]
6,3,3,[8.9210004e-04 6.1444665e-04 3.7058719e-04 9.9812287e-01]
7,3,2,[0.00102115 0.4427456  0.49466324 0.06156998]
8,2,2,[1.1432102e-04 8.0572499e-04 6.4865404e-01 3.5042596e-01]
9,3,3,[1.860476e-04 9.057004e-05 2.019100e-04 9.995215e-01]
10,3,3,[1.7014774e-04 8.9218098e-05 3.8980166e-04 9.9935085e-01]
11,3,3,[1.2060897e-04 1.1627480e-04 1.2923940e-04 9.9963379e-01]
12,3,3,[3.1147018e-04 8.0497004e-05 4.9042481e-04 9.9911755e-01]
13,3,3,[1.1252553e-04 1.4597493e-04 1.8921518e-04 9.9955231e-01]
14,3,3,[2.19990470e-04 1.12654336e-04 2.54469225e-04 9.99412894e-01]
15,2,2,[4.36586764e-04 1.07718783e-03 8.89834344e-01 1.08651884e-01]
16,3,3,[1.2361638e-04 2.5834382e-04 3.4849369e-04 9.9926955e-01]
17,3,3,[3.6974988e-04 1.7289276e-04 1.8863598e-04 9.9926871e-01]
18,3,3,[1.0068119e-03 2.2362771e-04 7.3202391e-04 9.9803752e-01]
19,3,3,[3.1768921e-04 1.3904754e-04 1.4139112e-04 9.9940193e-01]
20,3,3,[2.1540701e-04 3.6103295e-03 7.9321873e-04 9.9538112e-01]
21,3,3,[4.4595273e-03 3.6490569e-04 6.2470592e-04 9.9455088e-01]
22,3,3,[4.9242616e-04 1.1869167e-04 1.4304181e-03 9.9795842e-01]
23,1,1,[9.1670972e-06 9.9305290e-01 2.6429584e-04 6.6736443e-03]
24,3,3,[2.5180270e-04 2.7255612e-04 4.9352059e-03 9.9454039e-01]
25,3,3,[5.0847513e-05 8.1255026e-03 3.5206649e-02 9.5661700e-01]
26,3,3,[2.12010593e-04 1.17790165e-04 5.03032410e-04 9.99167204e-01]
27,3,3,[2.4038336e-04 8.8070119e-05 2.1956940e-04 9.9945205e-01]
28,3,1,[2.6191428e-05 9.0147972e-01 3.5804308e-03 9.4913632e-02]
29,3,3,[2.0513331e-04 1.2956847e-01 5.4806547e-04 8.6967838e-01]
30,2,2,[3.3736104e-04 1.6709736e-04 7.7967900e-01 2.1981646e-01]
31,1,1,[7.6615397e-06 9.8960620e-01 9.0378169e-03 1.3482273e-03]
32,3,3,[1.4284010e-04 2.0067676e-04 1.6316198e-02 9.8334020e-01]
33,3,3,[1.2690158e-04 1.2146518e-04 1.6490585e-04 9.9958676e-01]
34,3,3,[9.4348210e-04 4.1801651e-04 7.4130431e-02 9.2450804e-01]
35,3,3,[1.10294823e-04 2.50683312e-04 1.14085975e-04 9.99524951e-01]
36,3,3,[1.6925948e-04 7.5839332e-04 2.2497537e-02 9.7657484e-01]
37,0,3,[3.9173572e-04 5.2035216e-04 2.9244516e-03 9.9616349e-01]
38,3,3,[8.7199971e-04 1.3926519e-04 1.2056967e-03 9.9778301e-01]
39,0,2,[1.4860615e-04 5.8986677e-04 9.9657440e-01 2.6871436e-03]
40,3,2,[5.0491049e-05 2.3024927e-03 9.3168163e-01 6.5965384e-02]
41,3,3,[1.0395134e-04 2.3160032e-04 2.8481730e-04 9.9937963e-01]
42,3,3,[1.3413531e-04 3.0452997e-04 2.8178766e-03 9.9674350e-01]
43,3,3,[1.6920060e-04 5.4798083e-04 1.3417473e-04 9.9914861e-01]
44,3,3,[5.3028285e-05 3.3614475e-02 5.4136280e-04 9.6579117e-01]
45,1,3,[9.1062998e-04 3.8807252e-03 1.1491160e-04 9.9509382e-01]
46,3,3,[2.3058409e-04 4.7166907e-04 2.6127530e-04 9.9903655e-01]
47,1,2,[7.6727983e-06 1.6080284e-03 9.9744070e-01 9.4355340e-04]
48,3,3,[1.9228214e-04 8.5535772e-05 2.1571883e-04 9.9950647e-01]
49,3,3,[2.3852642e-04 1.3021647e-04 1.6357278e-04 9.9946767e-01]
50,3,3,[3.1034381e-04 1.4598847e-04 1.4955769e-04 9.9939418e-01]
51,3,3,[2.1101416e-04 1.4025134e-04 1.2772917e-04 9.9952102e-01]
52,3,3,[3.1548385e-03 2.2151951e-04 6.0856988e-04 9.9601501e-01]
53,3,3,[7.9579576e-04 2.0222865e-04 3.8813625e-04 9.9861383e-01]
54,2,0,[0.9622647  0.01557479 0.00422049 0.01794005]
55,2,1,[7.8497635e-04 9.9682319e-01 9.5534837e-04 1.4365941e-03]
56,3,3,[1.7396097e-04 6.8048906e-04 2.0194897e-02 9.7895068e-01]
57,3,3,[2.0939115e-04 9.0332673e-05 3.8632538e-04 9.9931395e-01]
58,3,3,[8.9099580e-05 2.5074586e-04 4.1879425e-04 9.9924135e-01]
59,3,3,[1.5918167e-04 1.3456275e-04 3.1754206e-04 9.9938881e-01]
60,3,2,[1.3552106e-04 6.1576109e-04 9.1941404e-01 7.9834700e-02]
61,3,3,[2.2811252e-03 1.0120829e-04 1.7840541e-03 9.9583352e-01]
62,3,3,[1.6347045e-03 2.3203201e-04 1.9293415e-03 9.9620396e-01]
63,3,2,[1.7403696e-05 8.5631572e-04 9.9865532e-01 4.7095458e-04]
64,3,3,[1.7669769e-04 6.1141542e-04 2.2407272e-03 9.9697113e-01]
65,3,3,[1.6670742e-04 1.6257146e-04 7.8395213e-04 9.9888676e-01]
66,3,3,[0.00420415 0.00792394 0.13577464 0.8520973 ]
67,3,3,[2.3958705e-04 1.3608065e-04 4.6906224e-04 9.9915528e-01]
68,3,3,[6.2000222e-04 4.5452412e-04 1.5536596e-03 9.9737179e-01]
69,3,3,[1.6760862e-03 3.2233773e-04 6.2862439e-03 9.9171525e-01]
70,3,3,[6.8287243e-04 2.6647473e-04 3.1837034e-01 6.8068033e-01]
71,1,1,[1.0635013e-04 9.0676636e-01 8.3701856e-02 9.4254613e-03]
72,3,2,[9.7866701e-05 3.5621892e-05 9.7579473e-01 2.4071820e-02]
73,3,3,[2.5064609e-04 7.9292309e-05 9.2896854e-04 9.9874109e-01]
74,3,3,[3.8485657e-04 8.4581763e-05 2.6769491e-03 9.9685365e-01]
75,3,3,[1.6802401e-04 8.2107792e-05 7.3665800e-04 9.9901319e-01]
76,3,3,[3.3005004e-04 7.1134302e-05 4.6987683e-03 9.9490005e-01]
77,3,3,[5.2926834e-03 9.9721226e-05 1.7696689e-03 9.9283785e-01]
78,3,3,[5.56121347e-04 1.20008735e-04 8.74768593e-04 9.98449087e-01]
79,2,2,[1.5388447e-05 5.5150413e-05 9.9956554e-01 3.6393825e-04]
80,3,3,[1.1208878e-04 8.5352782e-05 2.5760476e-04 9.9954492e-01]
81,3,3,[7.7643817e-05 1.0730697e-04 1.5230392e-04 9.9966276e-01]
82,3,3,[1.4939386e-04 1.7218890e-04 1.5002863e-04 9.9952841e-01]
83,3,3,[1.4665838e-04 1.2928295e-04 1.0991331e-04 9.9961412e-01]
84,3,3,[1.6774304e-04 1.0578710e-03 2.6889113e-04 9.9850559e-01]
85,3,3,[5.8762281e-04 2.4023461e-03 2.4134076e-04 9.9676871e-01]
86,2,2,[6.1122242e-05 5.4759792e-05 9.5848137e-01 4.1402750e-02]
87,1,1,[8.0595446e-06 9.9548632e-01 2.0201292e-04 4.3036290e-03]
88,3,3,[1.8509477e-04 1.6609124e-04 2.1016134e-04 9.9943858e-01]
89,3,3,[2.3238678e-04 1.1362897e-04 1.4690231e-04 9.9950707e-01]
90,3,3,[1.7918773e-03 1.3069734e-04 3.4968895e-04 9.9772769e-01]
91,3,3,[1.7434542e-04 1.3556673e-04 1.0254244e-04 9.9958748e-01]
92,3,3,[4.5418425e-04 8.4540108e-05 3.7441609e-04 9.9908686e-01]
93,3,3,[9.6471375e-04 1.2547322e-04 2.4012329e-04 9.9866974e-01]
94,3,3,[1.13196016e-04 1.78028655e-04 2.19949507e-04 9.99488831e-01]
95,3,3,[0.06527755 0.03618886 0.00255009 0.8959835 ]
96,3,3,[1.0309872e-04 6.5518980e-05 7.6908339e-04 9.9906236e-01]
